一	j ɐ t
確證	kʰ ɔ: k t s ɪ ŋ
碼頭	m a: tʰ ɐu
碾碎	n i: n s ɵy
碾碎	t s i: n s ɵy
磅秤	p ɔ: ŋ t sʰ ɪ ŋ
磋商	t sʰ ɔ: s œ: ŋ
磐石	pʰ u: n s ɛ: k
磕頭	h ɐ p tʰ ɐu
稻田	t ou tʰ i: n
稻米	t ou m ɐi
稻草	t ou t sʰ ou
稻種	t ou t s ʊ ŋ
稻穀	t ou k ʊ k
稿子	k ou t s i:
稿本	k ou p u: n
稿件	k ou k i: n
稿約	k ou j œ: k
稿紙	k ou t s i:
稿費	k ou f ɐi
稿源	k ou j y: n
稿酬	k ou t sʰ ɐu
穀子	k ʊ k t s i:
穀物	k ʊ k m ɐ t
穀倉	k ʊ k t sʰ ɔ: ŋ
穀粒	k ʊ k n ɐ p
穀類	k ʊ k l ɵy
窮人	kʰ ʊ ŋ j ɐ n
窮困	kʰ ʊ ŋ kʰ w ɐ n
窮苦	kʰ ʊ ŋ f u:
窮漢	kʰ ʊ ŋ h ɔ: n
窮盡	kʰ ʊ ŋ t s ɵ n
窮酸	kʰ ʊ ŋ s y: n
箭步	t s i: n p ou
箭桿	t s i: n k ɔ: n
箭靶	t s i: n p a:
箭頭	t s i: n tʰ ɐu
箱子	s œ: ŋ t s i:
箴言	t s ɐ m j i: n
範文	f a: n m ɐ n
範本	f a: n p u: n
範式	f a: n s ɪ k
範例	f a: n l ɐi
範圍	f a: n w ɐi
範疇	f a: n t sʰ ɐu
篆書	s y: n s y:
篇目	pʰ i: n m ʊ k
篇次	pʰ i: n t sʰ i:
篇頁	pʰ i: n j i: p
篇章	pʰ i: n t s œ: ŋ
篇幅	pʰ i: n f ʊ k
糅合	j ɐu h ɐ p
糊口	w u: h ɐu
糊塗	w u: tʰ ou
緘默	k a: mm ɐ k
線衣	s i: n j i:
線性	s i: n s ɪ ŋ
線段	s i: n t y: n
線索	s i: n s ɔ: k
線圈	s i: n h y: n
線條	s i: n tʰ i:u
線路	s i: n l ou
線頭	s i: n tʰ ɐu
線繩	s i: n s ɪ ŋ
緝私	t sʰ ɐ p s i:
緝查	t sʰ ɐ p t sʰ a:
緝毒	t sʰ ɐ p t ʊ k
緝拿	t sʰ ɐ p l a:
緝捕	t sʰ ɐ pp ou
緝獲	t sʰ ɐ p w ɔ: k
緞子	t y: n t s i:
緞帶	t y: n t a:i
締約	t ɐi j œ: k
締造	t ɐi t s ou
締盟	t ɐi m ɐ ŋ
緣分	j y: n f ɐ n
緣由	j y: n j ɐu
緣份	j y: n f ɐ n
緣故	j y: n k u:
緣起	j y: n h ei
編入	pʰ i: n j ɐ p
編目	pʰ i: n m ʊ k
編成	pʰ i: n s ɪ ŋ
編曲	pʰ i: n kʰ ʊ k
編次	pʰ i: n t sʰ i:
編制	pʰ i: n t s ɐi
編者	pʰ i: n t s ɛ:
編派	pʰ i: n pʰ a:i
編為	pʰ i: n w ɐi
編訂	pʰ i: n t ɪ ŋ
編班	pʰ i: n p a: n
編排	pʰ i: n pʰ a:i
編組	pʰ i: n t s ou
編造	pʰ i: n t s ou
編著	pʰ i: n t s y:
編隊	pʰ i: n t ɵy
編號	pʰ i: n h ou
編製	pʰ i: n t s ɐi
編劇	pʰ i: n kʰ ɛ: k
編審	pʰ i: n s ɐ m
編寫	pʰ i: n s ɛ:
編撰	pʰ i: n t s a: n
編碼	pʰ i: n m a:
編導	pʰ i: n t ou
編輯	pʰ i: n t sʰ ɐ p
編織	pʰ i: n t s ɪ k
編譯	pʰ i: n j ɪ k
緩刑	w u: n j ɪ ŋ
緩和	w u: n w ɔ:
緩期	w u: n kʰ ei
緩解	w u: n k a:i
緩慢	w u: n m a: n
緩緩	w u: n w u: n
緩衝	w u: n t sʰ ʊ ŋ
緬懷	m i: n w a:i
緯度	w ɐi t ou
練功	l i: n k ʊ ŋ
練字	l i: n t s i:
練成	l i: n s ɪ ŋ
練兵	l i: n p ɪ ŋ
練武	l i: n m ou
練拳	l i: n kʰ y: n
練習	l i: n t s a: p
罵人	m a: j ɐ n
罷工	p a: k ʊ ŋ
罷手	p a: s ɐu
罷市	p a: s i:
罷休	p a: j ɐu
罷免	p a: m i: n
罷官	p a: k u: n
罷教	p a: k a:u
罷演	p a: j i: n
罷課	p a: f ɔ:
罷黜	p a: t sʰ ɵ t
罷職	p a: t s ɪ k
膚色	f u: s ɪ k
膚淺	f u: t sʰ i: n
膜拜	m ou p a:i
膝下	s ɐ t h a:
膝蓋	s ɐ t k ɔ:i
膠水	k a:u s ɵy
膠片	k a:u pʰ i: n
膠布	k a:u p ou
膠印	k a:u j ɐ n
膠板	k a:u p a: n
膠版	k a:u p a: n
膠紙	k a:u t s i:
膠帶	k a:u t a:i
膠着	k a:u t s œ: k
膠著	k a:u t s œ: k
膠質	k a:u t s ɐ t
膠鞋	k a:u h a:i
膠囊	k a:u l ɔ: ŋ
膠囊	k a:u n ɔ: ŋ
舖位	pʰ ou w ɐi
舖張	pʰ ou t s œ: ŋ
舖排	pʰ ou pʰ a:i
蓬勃	pʰ ʊ ŋ p u: t
蓬鬆	pʰ ʊ ŋ s ʊ ŋ
蓮子	l i: n t s i:
蓮花	l i: n f a:
蓮蓬	l i: n pʰ ʊ ŋ
蔑視	m i: t s i:
蔓延	m a: n j i: n
蔗田	t s ɛ: tʰ i: n
蔗渣	t s ɛ: t s a:
蔗糖	t s ɛ: tʰ ɔ: ŋ
蔚藍	w ɐi l a: m
蔥頭	t sʰ ʊ ŋ tʰ ɐu
蔬果	s ɔ: k w ɔ:
蔬菜	s ɔ: t sʰ ɔ:i
蔽塞	p ɐi s ɐ k
蝌蚪	f ɔ: t ɐu
蝗災	w ɔ: ŋ t s ɔ:i
蝗蟲	w ɔ: ŋ t sʰ ʊ ŋ
蝙蝠	pʰ i: n f ʊ k
蝦仁	h a: j ɐ n
蝦米	h a: m ɐi
蝦醬	h a: t s œ: ŋ
蝴蝶	w u: t i: p
蝸牛	w ɔ: ŋ ɐu
蝸牛	w ɔ:ɐu
蝸居	w ɔ: k ɵy
衛生	w ɐi s ɐ ŋ
衛星	w ɐi s ɪ ŋ
衛冕	w ɐi m i: n
衝力	t sʰ ʊ ŋ l ɪ k
衝出	t sʰ ʊ ŋ t sʰ ɵ t
衝刺	t sʰ ʊ ŋ t sʰ i:
衝勁	t sʰ ʊ ŋ k ɪ ŋ
衝突	t sʰ ʊ ŋ t ɐ t
衝浪	t sʰ ʊ ŋ l ɔ: ŋ
衝破	t sʰ ʊ ŋ pʰ ɔ:
衝動	t sʰ ʊ ŋ t ʊ ŋ
衝進	t sʰ ʊ ŋ t s ɵ n
衝撞	t sʰ ʊ ŋ t s ɔ: ŋ
衝鋒	t sʰ ʊ ŋ f ʊ ŋ
衝激	t sʰ ʊ ŋ k ɪ k
衝擊	t sʰ ʊ ŋ k ɪ k
複句	f ʊ kk ɵy
複印	f ʊ k j ɐ n
複合	f ʊ k h ɐ p
複式	f ʊ k s ɪ k
複姓	f ʊ k s ɪ ŋ
複查	f ʊ k t sʰ a:
複述	f ʊ k s ɵ t
複核	f ʊ k h ɐ t
複習	f ʊ k t s a: p
複診	f ʊ k t sʰ ɐ n
複試	f ʊ k s i:
複製	f ʊ k t s ɐi
複審	f ʊ k s ɐ m
複數	f ʊ k s ou
複選	f ʊ k s y: n
複檢	f ʊ kk i: m
複賽	f ʊ k t sʰ ɔ:i
複雜	f ʊ k t s a: p
褐色	h ɔ: t s ɪ k
褒揚	p ou j œ: ŋ
褒貶	p a:u p i: n
褒義	p ou j i:
褒獎	p ou t s œ: ŋ
褓母	p ou m ou
褓姆	p ou m ou
誕生	t a: n s ɐ ŋ
誕辰	t a: n s ɐ n
誰人	s ɵy j ɐ n
課文	f ɔ: m ɐ n
課外	f ɔ: ŋ ɔ:i
課外	f ɔ:ɔ:i
課本	f ɔ: p u: n
課室	f ɔ: s ɐ t
課後	f ɔ: h ɐu
課時	f ɔ: s i:
課堂	f ɔ: tʰ ɔ: ŋ
課稅	f ɔ: s ɵy
課程	f ɔ: t sʰ ɪ ŋ
課業	f ɔ: j i: p
課餘	f ɔ: j y:
課題	f ɔ: tʰ ɐi
誹謗	f ei pʰ ɔ: ŋ
調子	tʰ i:u t s i:
調勻	tʰ i:u w ɐ n
調用	t i:u j ʊ ŋ
調皮	tʰ i:u pʰ ei
調任	t i:u j ɐ m
調色	t i:u s ɪ k
調低	t i:u t ɐi
調走	t i:u t s ɐu
調味	tʰ i:u m ei
調和	tʰ i:u w ɔ:
調查	t i:u t sʰ a:
調派	t i:u pʰ a:i
調音	t i:u j ɐ m
調配	t i:u pʰ u:i
調高	t i:u k ou
調停	tʰ i:u tʰ ɪ ŋ
調動	t i:u t ʊ ŋ
調情	tʰ i:u t sʰ ɪ ŋ
調控	tʰ i:u h ʊ ŋ
調教	t i:u k a:u
調理	t i:u l ei
調換	t i:u w u: n
調開	tʰ i:u h ɔ:i
調節	tʰ i:u t s i: t
調解	tʰ i:u k a:i
調製	t i:u t s ɐi
調適	t i:u s ɪ k
調遷	t i:u t sʰ i: n
調養	t i:u j œ: ŋ
調劑	tʰ i:u t s ɐi
調整	tʰ i:u t s ɪ ŋ
調戲	tʰ i:u h ei
調職	t i:u t s ɪ k
調轉	t i:u t s y: n
調離	t i:u l ei
諂媚	t sʰ i: mm ei
談上	tʰ a: m s œ: ŋ
談及	tʰ a: m kʰ ɐ p
談心	tʰ a: m s ɐ m
談吐	tʰ a: m tʰ ou
談判	tʰ a: m pʰ u: n
談到	tʰ a: m t ou
談話	tʰ a: m w a:
談論	tʰ a: m l ɵ n
請示	t sʰ ɛ: ŋ s i:
請安	t sʰ ɛ: ŋ ɔ: n
請坐	t sʰ ɛ: ŋ t sʰ ɔ:
請求	t sʰ ɪ ŋ kʰ ɐu
請見	t sʰ ɛ: ŋ k i: n
請來	t sʰ ɛ: ŋ l ɔ:i
請到	t sʰ ɛ: ŋ t ou
請命	t sʰ ɛ: ŋ m ɛ: ŋ
請帖	t sʰ ɛ: ŋ tʰ i: p
請便	t sʰ ɛ: ŋ p i: n
請客	t sʰ ɛ: ŋ h a: k
請柬	t sʰ ɛ: ŋ k a: n
請假	t sʰ ɛ: ŋ k a:
請問	t sʰ ɛ: ŋ m ɐ n
請教	t sʰ ɛ: ŋ k a:u
請進	t sʰ ɛ: ŋ t s ɵ n
請罪	t sʰ ɛ: ŋ t s ɵy
請辭	t sʰ ɛ: ŋ t sʰ i:
請願	t sʰ ɛ: ŋ j y: n
諒解	l œ: ŋ k a:i
論及	l ɵ n kʰ ɐ p
論文	l ɵ n m ɐ n
論定	l ɵ n t ɪ ŋ
論爭	l ɵ n t s ɐ ŋ
論政	l ɵ n t s ɪ ŋ
論述	l ɵ n s ɵ t
論著	l ɵ n t s œ: k
論語	l ɵ n j y:
論說	l ɵ n s y: t
論調	l ɵ n t i:u
論壇	l ɵ n tʰ a: n
論戰	l ɵ n t s i: n
論據	l ɵ n k ɵy
論點	l ɵ n t i: m
論斷	l ɵ n t y: n
論題	l ɵ n tʰ ɐi
論證	l ɵ n t s ɪ ŋ
諸公	t s y: k ʊ ŋ
諸多	t s y: t ɔ:
諸侯	t s y: h ɐu
豌豆	w u: n t ɐu
豎立	s y: l a: p
豎起	s y: h ei
豎琴	s y: kʰ ɐ m
豬仔	t s y: t s ɐi
豬扒	t s y: pʰ a:
豬皮	t s y: pʰ ei
豬肉	t s y: j ʊ k
豬肚	t s y: tʰ ou
豬肝	t s y: k ɔ: n
豬油	t s y: j ɐu
豬圈	t s y: h y: n
豬排	t s y: pʰ a:i
豬場	t s y: t sʰ œ: ŋ
豬腰	t s y: j i:u
豬腳	t s y: k œ: k
豬槽	t s y: t sʰ ou
豬瘟	t s y: w ɐ n
豬蹄	t s y: tʰ ɐi
豬頭	t s y: tʰ ɐu
豬欄	t s y: l a: n
豬乸	t s y: n a:
豬乸	t s y: l a:
豬脷	t s y: l ei
賜予	t sʰ i: j y:
賜死	t sʰ i: s ei
賜教	t sʰ i: k a:u
賜給	t sʰ i: kʰ ɐ p
賜福	t sʰ i: f ʊ k
賞心	s œ: ŋ s ɐ m
賞月	s œ: ŋ j y: t
賞玩	s œ: ŋ w u: n
賞花	s œ: ŋ f a:
賞金	s œ: ŋ k ɐ m
賞封	s œ: ŋ f ʊ ŋ
賞給	s œ: ŋ kʰ ɐ p
賞罰	s œ: ŋ f ɐ t
賞賜	s œ: ŋ t sʰ i:
賞錢	s œ: ŋ t sʰ i: n
賞臉	s œ: ŋ l i: m
賞識	s œ: ŋ s ɪ k
賠本	pʰ u:i p u: n
賠款	pʰ u:i f u: n
賠罪	pʰ u:i t s ɵy
賠錢	pʰ u:i t sʰ i: n
賠償	pʰ u:i s œ: ŋ
賠禮	pʰ u:i l ɐi
賢人	j i: n j ɐ n
賢臣	j i: n s ɐ n
賢弟	j i: n t ɐi
賢良	j i: n l œ: ŋ
賢明	j i: n m ɪ ŋ
賢者	j i: n t s ɛ:
賢姪	j i: n t s ɐ t
賢能	j i: n l ɐ ŋ
賢淑	j i: n s ʊ k
賢達	j i: n t a: t
賢德	j i: n t ɐ k
賢慧	j i: n w ɐi
賣力	m a:i l ɪ k
賣方	m a:i f ɔ: ŋ
賣主	m a:i t s y:
賣出	m a:i t sʰ ɵ t
賣光	m a:i k w ɔ: ŋ
賣完	m a:i j y: n
賣弄	m a:i l ʊ ŋ
賣身	m a:i s ɐ n
賣命	m a:i m ɛ: ŋ
賣座	m a:i t s ɔ:
賣笑	m a:i s i:u
賣唱	m a:i t sʰ œ: ŋ
賣帳	m a:i t s œ: ŋ
賣掉	m a:i t ɛ:u
賣淫	m a:i j ɐ m
賣貨	m a:i f ɔ:
賣給	m a:i kʰ ɐ p
賣價	m a:i k a:
賣斷	m a:i t y: n
賣藝	m a:iɐi
賤人	t s i: n j ɐ n
賤內	t s i: n l ɔ:i
賤民	t s i: n m ɐ n
賤貨	t s i: n f ɔ:
賤價	t s i: n k a:
賤賣	t s i: n m a:i
賦予	f u: j y:
賦稅	f u: s ɵy
賦閒	f u: h a: n
賦辭	f u: t sʰ i:
質子	t s ɐ tt s i:
質地	t s ɐ tt ei
質料	t s ɐ t l i:u
質素	t s ɐ t s ou
質問	t s ɐ t m ɐ n
質量	t s ɐ t l œ: ŋ
質詢	t s ɐ t s ɵ n
質疑	t s ɐ t j i:
質數	t s ɐ t s ou
質變	t s ɐ t p i: n
賬戶	t s œ: ŋ w u:
賬冊	t s œ: ŋ t sʰ a: k
賬目	t s œ: ŋ m ʊ k
賬房	t s œ: ŋ f ɔ: ŋ
賬面	t s œ: ŋ m i: n
賬單	t s œ: ŋ t a: n
賬號	t s œ: ŋ h ou
賬簿	t s œ: ŋ p ou
賭本	t ou p u: n
賭局	t ou k ʊ k
賭具	t ou k ɵy
賭法	t ou f a: t
賭注	t ou t s y:
賭徒	t ou tʰ ou
賭氣	t ou h ei
賭馬	t ou m a:
賭鬼	t ou k w ɐi
賭博	t ou p ɔ: k
賭場	t ou t sʰ œ: ŋ
賭債	t ou t s a:i
賭輸	t ou s y:
賭錢	t ou t sʰ i: n
賭贏	t ou j ɛ: ŋ
趣事	t sʰ ɵy s i:
趣味	t sʰ ɵy m ei
趣聞	t sʰ ɵy m ɐ n
趣談	t sʰ ɵy tʰ a: m
踏入	t a: p j ɐ p
踏上	t a: p s œ: ŋ
踏板	t a: pp a: n
踏着	t a: p t s œ: k
踏過	t a: p k w ɔ:
踏實	t a: p s ɐ t
踐踏	t sʰ i: n t a: p
踢到	tʰ ɛ: k t ou
踢倒	tʰ ɛ: k t ou
踢球	tʰ ɛ: k kʰ ɐu
踢開	tʰ ɛ: k h ɔ:i
踢腳	tʰ ɛ: kk œ: k
踩入	t sʰ a:i j ɐ p
躺下	tʰ ɔ: ŋ h a:
躺平	tʰ ɔ: ŋ pʰ ɪ ŋ
躺臥	tʰ ɔ: ŋ ɔ:
躺椅	tʰ ɔ: ŋ j i:
輝煌	f ɐi w ɔ: ŋ
輟演	t s y: t j i: n
輟學	t s y: t h ɔ: k
輩分	p u:i f ɐ n
輩份	p u:i f ɐ n
輪子	l ɵ n t s i:
輪到	l ɵ n t ou
輪姦	l ɵ n k a: n
輪流	l ɵ n l ɐu
輪胎	l ɵ n tʰ a:i
輪班	l ɵ n p a: n
輪迴	l ɵ n w u:i
輪船	l ɵ n s y: n
輪替	l ɵ n tʰ ɐi
輪椅	l ɵ n j i:
輪軸	l ɵ n t s ʊ k
輪廓	l ɵ n kʰ w ɔ: k
輪盤	l ɵ n pʰ u: n
遨遊	ou j ɐu
遨遊	ŋ ou j ɐu
適中	s ɪ k t s ʊ ŋ
適切	s ɪ k t sʰ i: t
適用	s ɪ k j ʊ ŋ
適合	s ɪ k h ɐ p
適宜	s ɪ k j i:
適度	s ɪ k t ou
適時	s ɪ k s i:
適量	s ɪ k l œ: ŋ
適當	s ɪ k t ɔ: ŋ
適應	s ɪ k j ɪ ŋ
適齡	s ɪ k l ɪ ŋ
遭到	t s ou t ou
遭受	t s ou s ɐu
遭殃	t s ou j œ: ŋ
遭逢	t s ou f ʊ ŋ
遭遇	t s ou j y:
遭難	t s ou n a: n
遮住	t s ɛ: t s y:
遮雨	t s ɛ: j y:
遮面	t s ɛ: m i: n
遮掩	t s ɛ: j i: m
遮陰	t s ɛ: j ɐ m
遮蓋	t s ɛ: k ɔ:i
遮蔽	t s ɛ: p ɐi
遮擋	t s ɛ: t ɔ: ŋ
遮臉	t s ɛ: l i: m
遮醜	t s ɛ: t sʰ ɐu
遮藏	t s ɛ: t sʰ ɔ: ŋ
遮攔	t s ɛ: l a: n
遷入	t sʰ i: n j ɐ p
遷出	t sʰ i: n t sʰ ɵ t
遷居	t sʰ i: n k ɵy
遷往	t sʰ i: n w ɔ: ŋ
遷怒	t sʰ i: nn ou
遷徙	t sʰ i: n s ɵy
遷移	t sʰ i: n j i:
遷都	t sʰ i: n t ou
遷就	t sʰ i: n t s ɐu
鄭重	t s ɛ: ŋ t s ʊ ŋ
鄰人	l ɵ n j ɐ n
鄰村	l ɵ n t sʰ y: n
鄰邦	l ɵ n p ɔ: ŋ
鄰里	l ɵ n l ei
鄰居	l ɵ n k ɵy
鄰近	l ɵ n k ɐ n
鄰家	l ɵ n k a:
鄰座	l ɵ n t s ɔ:
鄰國	l ɵ n k w ɔ: k
鄰接	l ɵ n t s i: p
鄰縣	l ɵ n j y: n
醃肉	j i: m j ʊ k
醃魚	j i: m j y:
醃菜	j i: m t sʰ ɔ:i
醃漬	j i: m t s ɪ k
醇化	s ɵ n f a:
醇厚	s ɵ n h ɐu
醇美	s ɵ n m ei
醇香	s ɵ n h œ: ŋ
醇酒	s ɵ n t s ɐu
醉心	t s ɵy s ɐ m
醉臥	t s ɵyɔ:
醉倒	t s ɵy t ou
醉酒	t s ɵy t s ɐu
醉鬼	t s ɵy k w ɐi
醉鄉	t s ɵy h œ: ŋ
醉意	t s ɵy j i:
醉態	t s ɵy tʰ a:i
醉漢	t s ɵy h ɔ: n
醉蟹	t s ɵy h a:i
醋意	t sʰ ou j i:
銳利	j ɵy l ei
銳角	j ɵy k ɔ: k
銳氣	j ɵy h ei
銳減	j ɵy k a: m
銳意	j ɵy j i:
銳增	j ɵy t s ɐ ŋ
銷案	s i:uɔ: n
銷售	s i:u s ɐu
銷量	s i:u l œ: ŋ
銷毀	s i:u w ɐi
銷路	s i:u l ou
銷魂	s i:u w ɐ n
銼刀	t sʰ ɔ: t ou
鋁盔	l ɵy kʰ w ɐi
鋁壺	l ɵy w u:
鋁鍋	l ɵy w ɔ:
鋒利	f ʊ ŋ l ei
鋒芒	f ʊ ŋ m ɔ: ŋ
鋤地	t sʰ ɔ: t ei
鋤頭	t sʰ ɔ: tʰ ɐu
鋪位	pʰ ou w ɐi
鋪板	pʰ ou p a: n
鋪砌	pʰ ou t sʰ ɐi
鋪軌	pʰ ou k w ɐi
鋪面	pʰ ou m i: n
鋪張	pʰ ou t s œ: ŋ
鋪排	pʰ ou pʰ a:i
鋪設	pʰ ou t sʰ i: t
鋪陳	pʰ ou t sʰ ɐ n
鋪路	pʰ ou l ou
鋪墊	pʰ ou t i: n
閱兵	j y: t p ɪ ŋ
閱卷	j y: t k y: n
閱報	j y: t p ou
閱歷	j y: t l ɪ k
閱覽	j y: t l a: m
閱讀	j y: tt ʊ k
震央	t s ɐ n j œ: ŋ
震怒	t s ɐ nn ou
震動	t s ɐ n t ʊ ŋ
震慄	t s ɐ n l ɵ t
震源	t s ɐ n j y: n
震撼	t s ɐ n h ɐ m
震蕩	t s ɐ n t ɔ: ŋ
震盪	t s ɐ n t ɔ: ŋ
震懾	t s ɐ n s i: p
震顫	t s ɐ n t s i: n
震驚	t s ɐ n k ɪ ŋ
霉味	m u:i m ei
霉氣	m u:i h ei
霉菌	m u:i kʰ w ɐ n
霉運	m u:i w ɐ n
霉爛	m u:i l a: n
靚女	l ɛ: ŋ l ɵy
靚女	l ɛ: ŋ n ɵy
靚仔	l ɛ: ŋ t s ɐi
靚妝	l ɛ: ŋ t s ɔ: ŋ
靠山	kʰ a:u s a: n
靠岸	kʰ a:u ŋ ɔ: n
靠近	kʰ a:u k ɐ n
靠背	kʰ a:u p u:i
靠墊	kʰ a:u t i: n
靠攏	kʰ a:u l ʊ ŋ
靠邊	kʰ a:u p i: n
鞋子	h a:i t s i:
鞋匠	h a:i t s œ: ŋ
鞋扣	h a:i kʰ ɐu
鞋刷	h a:i t sʰ a: t
鞋底	h a:i t ɐi
鞋店	h a:i t i: m
鞋油	h a:i j ɐu
鞋帶	h a:i t a:i
鞋跟	h a:i k ɐ n
鞋墊	h a:i t i: n
鞋廠	h a:i t sʰ ɔ: ŋ
鞋襪	h a:i m ɐ t
鞏固	k ʊ ŋ k u:
養女	j œ: ŋ l ɵy
養女	j œ: ŋ n ɵy
養子	j œ: ŋ t s i:
養分	j œ: ŋ f ɐ n
養父	j œ: ŋ f u:
養母	j œ: ŋ m ou
養生	j œ: ŋ s ɐ ŋ
養老	j œ: ŋ l ou
養育	j œ: ŋ j ʊ k
養花	j œ: ŋ f a:
養活	j œ: ŋ w u: t
養家	j œ: ŋ k a:
養料	j œ: ŋ l i:u
養病	j œ: ŋ p ɛ: ŋ
養神	j œ: ŋ s ɐ n
養殖	j œ: ŋ t s ɪ k
養傷	j œ: ŋ s œ: ŋ
養蜂	j œ: ŋ f ʊ ŋ
養豬	j œ: ŋ t s y:
養雞	j œ: ŋ k ɐi
養蠶	j œ: ŋ t sʰ a: m
餓死	ɔ: s ei
餓死	ŋ ɔ: s ei
餓着	ŋ ɔ: t s œ: k
餘下	j y: h a:
餘生	j y: s ɐ ŋ
餘地	j y: t ei
餘閒	j y: h a: n
餘暇	j y: h a:
餘暉	j y: f ɐi
餘數	j y: s ou
餘熱	j y: j i: t
餘蔭	j y: j ɐ m
餘震	j y: t s ɐ n
餘興	j y: h ɪ ŋ
餘錢	j y: t sʰ i: n
餘燼	j y: t s ɵ n
餘糧	j y: l œ: ŋ
餘額	j y: ŋ a: k
餘額	j y:a: k
餘韻	j y: w ɐ n
餘孽	j y: j i: t
餘黨	j y: t ɔ: ŋ
駐地	t s y: t ei
駐守	t s y: s ɐu
駐足	t s y: t s ʊ k
駐防	t s y: f ɔ: ŋ
駐軍	t s y: k w ɐ n
駐紮	t s y: t s a: t
駐華	t s y: w a:
駕車	k a: t sʰ ɛ:
駕崩	k a: p ɐ ŋ
駕御	k a: j y:
駕馭	k a: j y:
駕駛	k a: s ɐi
駕臨	k a: l ɐ m
駙馬	f u: m a:
駛出	s ɐi t sʰ ɵ t
駛去	s ɐi h ɵy
駛向	s ɐi h œ: ŋ
駛回	s ɐi w u:i
駛往	s ɐi w ɔ: ŋ
駝子	tʰ ɔ: t s i:
駝背	tʰ ɔ: p u:i
駝峰	tʰ ɔ: f ʊ ŋ
駝鳥	tʰ ɔ: l i:u
骷髏	f u: l ɐu
髮夾	f a: t k a: p
髮妻	f a: tt sʰ ɐi
髮型	f a: t j ɪ ŋ
髮指	f a: tt s i:
髮廊	f a: t l ɔ: ŋ
髮絲	f a: t s i:
髮菜	f a: tt sʰ ɔ:i
髮膠	f a: t k a:u
髮髻	f a: t k ɐi
髮辮	f a: t p i: n
髮蠟	f a: t l a: p
鬧市	l a:u s i:
鬧市	n a:u s i:
鬧事	l a:u s i:
鬧事	n a:u s i:
鬧房	l a:u f ɔ: ŋ
鬧房	n a:u f ɔ: ŋ
鬧鬼	n a:u k w ɐi
鬧鬼	l a:u k w ɐi
鬧劇	l a:u kʰ ɛ: k
鬧劇	n a:u kʰ ɛ: k
鬧翻	n a:u f a: n
鬧翻	l a:u f a: n
鬧鐘	l a:u t s ʊ ŋ
鬧鐘	n a:u t s ʊ ŋ
魄力	pʰ a: k l ɪ k
魅力	m ei l ɪ k
魅惑	m ei w a: k
魯莽	l ou m ɔ: ŋ
魷魚	j ɐu j y:
鴉片	ŋ a: pʰ i: n
鴉片	a: pʰ i: n
黎明	l ɐi m ɪ ŋ
齒冷	t sʰ i: l a: ŋ
齒狀	t sʰ i: t s ɔ: ŋ
齒科	t sʰ i: f ɔ:
齒輪	t sʰ i: l ɵ n
儒生	j y: s ɐ ŋ
儒家	j y: k a:
儒術	j y: s ɵ t
儒道	j y: t ou
儒學	j y: h ɔ: k
儘快	t s ɵ n f a:i
儘量	t s ɵ n l œ: ŋ
儘管	t s ɵ n k u: n
冀望	k ei m ɔ: ŋ
凝固	j ɪ ŋ k u:
凝思	j ɪ ŋ s i:
凝重	j ɪ ŋ t s ʊ ŋ
凝望	j ɪ ŋ m ɔ: ŋ
凝眸	j ɪ ŋ m ɐu
凝結	j ɪ ŋ k i: t
凝視	j ɪ ŋ s i:
凝想	j ɪ ŋ s œ: ŋ
凝聚	j ɪ ŋ t s ɵy
劑量	t s ɐi l œ: ŋ
勳章	s ɵ n t s œ: ŋ
勳爵	s ɵ n t s œ: k
噤聲	k ɐ m s ɛ: ŋ
器皿	h ei m ɪ ŋ
器件	h ei k i: n
器材	h ei t sʰ ɔ:i
器具	h ei k ɵy
器官	h ei k u: n
器物	h ei m ɐ t
器度	h ei t ou
器重	h ei t s ʊ ŋ
器械	h ei h a:i
噩耗	ŋ ɔ: k h ou
噩運	ŋ ɔ: k w ɐ n
噩夢	ŋ ɔ: k m ʊ ŋ
噩夢	ɔ: k m ʊ ŋ
噪音	t sʰ ou j ɐ m
噱頭	kʰ œ: k tʰ ɐu
噸位	t ɵ n w ɐi
墾田	h ɐ n tʰ i: n
墾地	h ɐ n t ei
墾荒	h ɐ n f ɔ: ŋ
壁虎	p ɪ k f u:
壁紙	p ɪ k t s i:
壁報	p ɪ k p ou
壁畫	p ɪ k w a:
壁爐	p ɪ k l ou
奮力	f ɐ n l ɪ k
奮勇	f ɐ n j ʊ ŋ
奮勉	f ɐ n m i: n
奮起	f ɐ n h ei
奮鬥	f ɐ n t ɐu
奮發	f ɐ n f a: t
奮進	f ɐ n t s ɵ n
奮戰	f ɐ n t s i: n
學士	h ɔ: k s i:
學分	h ɔ: k f ɐ n
學生	h ɔ: k s a: ŋ
學年	h ɔ: k n i: n
學年	h ɔ: k l i: n
學行	h ɔ: k h ɐ ŋ
學位	h ɔ: k w ɐi
學究	h ɔ: kk ɐu
學系	h ɔ: k h ɐi
學乖	h ɔ: kk w a:i
學制	h ɔ: k t s ɐi
學妹	h ɔ: k m u:i
學府	h ɔ: k f u:
學者	h ɔ: k t s ɛ:
學長	h ɔ: k t s œ: ŋ
學派	h ɔ: k pʰ a:i
學界	h ɔ: kk a:i
學科	h ɔ: k f ɔ:
學苑	h ɔ: k j y: n
學員	h ɔ: k j y: n
學徒	h ɔ: k tʰ ou
學校	h ɔ: k h a:u
學院	h ɔ: k j y: n
